afghanistan,botswana,chile,china,cuba,egypt,germany,haiti,india,iran,iraq,israel,japan,libya,mexico,norway,philippines,poland,russia,singapore,syria,ukraine,united states,vietnam
,,,,,,,,,,,,,,,,,,,,,,"""I'm not pushing these ideas for my sake. I'm pushing them because I think this is where America needs to go."" â€”President Obama #Leadership",
,,,,,,,,,,,,,,,,,,,,,,"Climate change deniers, take note: The vast majority of Americans agree that it's time to #ActOnClimate.http://ofa.bo/s2fTÂ ",
,,,,,,,,,,,,,,,,,,,,,,9.5 million Americans have signed up for coverageâ€”and we're not done yet.http://ofa.bo/c2WmÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""Letâ€™s begin this new chapterâ€”togetherâ€”and letâ€™s start the work right now."" â€”President Obama #SOTU #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""My fellow Americans, we too are a strong, tight-knit family. We, too, have made it through some hard times."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""To every CEO in America: If you want someone who will get the job done and done right, hire a veteran."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""As a new generation of veterans come home, we owe them every opportunity to live the American dream they helped defend."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Free community college is possibleâ€”and I want to spread that idea all across America."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""Send me a bill that gives every worker in America the opportunity to earn seven days of paid sick leave."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"â€œTonight, together, letâ€™s do more to restore the link between hard work and growing opportunity for every American.â€ â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""In the past year alone, about 10 million uninsured Americans finally gained the security of health coverage."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""Tonight, after a breakthrough year for America, our economy is growing and creating jobs at the fastest pace since 1999."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you believe solar energy is critical to America's future. #GoSolar,
,,,,,,,,,,,,,,,,,,,,,,"""When we Americans put our minds together and our shoulder to the wheel, there's nothing we can't do."" â€”President Obama #Cybersecurity",
,,,,,,,,,,,,,,,,,,,,,,"""I'm announcing new steps to protect the identities and privacy of the American people."" â€”President Obama #Cybersecurity",
,,,,,,,,,,,,,,,,,,,,,,"""America is coming back. And I want to go full speed ahead."" â€”President Obamahttp://ofa.bo/j2JHÂ ",
,,,,,,,,,,,,,,,,,,,,,,LIVE: The President is in Knoxville discussing new initiatives to help Americans go to college. http://ofa.bo/b2HiÂ  #FreeCommunityCollege,
,,,,,,,,,,,,,,,,,,,,,,"""America's coming back. And I'm going to be on your side every step of the way."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We may not all be rooting for the Lions, but America is rooting for Detroit."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Saving the American auto industry was the right thing to do."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""No matter how tough times get, Americans are tougher."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We can help every American get the education they need to get ahead in this country."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""America's resurgence is real. Don't let anybody tell you otherwise."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We've now had a 57-month streak of private-sector job creation."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""Last year was the strongest year for job growth since the 1990s."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""I won't stop fighting for the American people until the day I leave this office. That's a promise.""http://ofa.bo/q29CÂ ",
,,,,,,,,,,,,,,,,,,,,,,Watch President Obama and the First Lady wish all Americans a merry Christmas and happy holidays:http://ofa.bo/b25uÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""Pick any metric you wantâ€”Americaâ€™s resurgence is real."" Watch President Obama's weekly address:http://ofa.bo/a22oÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""Number of Uninsured Americans Near Historic Low"" More from @TIME: http://ofa.bo/f21yÂ  #Obamacare",
,,,,,,,,,,,,,,,,,,,,,,"WATCH: President Obama took action to protect Bristol Bay in Alaska, one of America's greatest natural treasures.http://ofa.bo/r22EÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""When the world calls on America, we call on youâ€”our men and women in uniform."" â€”President Obama #JoiningForces",
,,,,,,,,,,,,,,,,,,,,,,"""This is what makes America exceptional. We welcome strivers, and we welcome dreamers from all across the world.â€ â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"In just the first two weeks of enrollment, 1.5 million Americans applied for affordable health coverage:http://ofa.bo/b1sZÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""Americans are tired of gridlock. We're ready to move forward."" â€”President Obama #ImmigrationAction",
,,,,,,,,,,,,,,,,,,,,,,"""We are a nation of immigrants. It has always given America a big advantage over other nations."" â€”President Obamahttp://ofa.bo/d1efÂ ",
,,,,,,,,,,,,,,,,,,,,,,â€œThis is not just a Latino issue. This is an American issue.â€ â€”President Obama #ImmigrationAction,
,,,,,,,,,,,,,,,,,,,,,,"""My fellow Americans, we are and always will be a nation of immigrants."" â€”President Obama #ImmigrationAction",
,,,,,,,,,,,,,,,,,,,,,,Now's your chance to get covered. The health care marketplace is now open again for all Americans: http://ofa.bo/h1cgÂ  #ReadySetEnroll,
,,,,,,,,,,,,,,,,,,,,,,Jackie Robinson West All Stars: America's champions.pic.twitter.com/JAmZBdgNuB,
,,,,,,,,,,,,,,,,,,,,,,"""Nobody who works full time in America should be raising their kids below the poverty line."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""About 28 million Americans would benefit if we raised the minimum wage to $10.10."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""Ten million Americans have now gained the peace of mind of having health insurance."" â€” President Obama",
,,,,,,,,,,,,,,,,,,,,,,"Team Obamacare is for anyone who thinks all Americans deserve access to quality, affordable health care:http://ofa.bo/r1OmÂ ",
,,,,,,,,,,,,,,,,,,,,,,Add your name if you're one of the 7 out of 10 Americans that supports raising the minimum wage: http://ofa.bo/c1FXÂ  #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,"It's time: #With1010, both the economy and American workers get a hand.pic.twitter.com/6RqSPHYBnx",
,,,,,,,,,,,,,,,,,,,,,,"Retweet if you believe our economy should grow from the middle out, not the top down. #AmericaLeadspic.twitter.com/XzR28YPIB0",
,,,,,,,,,,,,,,,,,,,,,,"""The story of America is a story of progress."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""Americaâ€™s economic greatness has never trickled from the top downâ€”it grows from a rising, thriving middle class."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Let's agree that no one who works full time in America should ever have to work in poverty."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""If we raise the minimum wage, we wonâ€™t just put more money in workersâ€™ pocketsâ€”theyâ€™ll spend that money."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""Let's keep reforming our education system so young people at every level have the same shot at success."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""When I took office, the deficit was nearly 10 percent of our economy. Today, itâ€™s approaching 3 percent."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""Last year, our elementary and middle school students had the highest math and reading scores on record."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""When the middle class thrives ... America thrives. When it doesnâ€™t, America doesn't."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,"""This is the longest, uninterrupted stretch of job growth in our history."" â€”President Obama #AmericaLeads",
,,,,,,,,,,,,,,,,,,,,,,This shouldn't be controversial: Keeping Americans' drinking water safe is a good thing. http://ofa.bo/d0sVÂ  #CleanWater,
,,,,,,,,,,,,,,,,,,,,,,"""Thirteen years after small and hateful minds conspired to break us, America stands tall."" â€”President Obama #NeverForget",
,,,,,,,,,,,,,,,,,,,,,,"To every American working hard each and every single day, happy #LaborDay.pic.twitter.com/tGCwLVQlyl",
,,,,,,,,,,,,,,,,,,,,,,"""In America, no one who works full-time should ever have to raise a family in poverty."" â€”President Obamahttp://ofa.bo/i0mYÂ ",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you think these 28 million Americans deserve a raise. #OpportunityForAllpic.twitter.com/nIAblHSsJN,
,,,,,,,,,,,,,,,,,,,,,,"""A climate for change: America should not wait while the world warms"" More from @washingtonpost: http://ofa.bo/h0lBÂ  #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,It's time to make the pay gap a thing of the pastâ€”American women deserve better. #WEMatter,
,,,,,,,,,,,,,,,,,,,,,,"""I'm announcing 19 new executive actions to improve mental health care for those American heroes and their families."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Thanks to the decisions we made to rescue and rebuild our economy ... America is leading again."" â€”President Obamahttp://ofa.bo/e0jiÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""It wastes America's time ... You guys are all paying for it as taxpayers.""â€”President Obama on House leadership's lawsuit",
,,,,,,,,,,,,,,,,,,,,,,Speak up: Tell House leaders to #SueLessDoMore and help middle-class Americans. http://ofa.bo/q0QUÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""I believe in an optimistic America that is making progress."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""I want Congress to do its job to make life easier for Americans who put them there in the first place."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""If we can work together, I promise you there is no holding America back."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""I'm here because I am listening ... I'm listening to Americans all across the country."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""Let's get together, work together, to restore opportunity for every single American."" â€”President Obama #ReadyToWork",
,,,,,,,,,,,,,,,,,,,,,,"""Instead of rewarding companies for shipping jobs overseas, let's create jobs right here in America."" â€”President Obama #ReadyToWork",
,,,,,,,,,,,,,,,,,,,,,,"""Wherever and whenever I have a chance to help families like yours, I'm going to do it."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""Climate change poses a direct threat to the infrastructure of America."" â€”President Obama http://ofa.bo/g0EqÂ  #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,One reason it's time to #RebuildAmerica: 65% of America's major roads' condition is rated lower than good.,
,,,,,,,,,,,,,,,,,,,,,,FACT: Nearly 70% of Americans agree that transportation deserves more federal funding. #RebuildAmerica,
,,,,,,,,,,,,,,,,,,,,,,"""Do something. That's my big motto for Congress right now."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""The American people have to demand that the folks in Washington do their job."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We could do so much more if we just rallied around a sense of economic patriotism."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""When you are in traffic congestion because of poor planning and infrastructure, that's a cost to you."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,Hard-working Americans deserve better than the current minimum wage. It's time for a change: http://ofa.bo/g0D4Â  #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you think hard-working Americans deserve a raise. #RaiseTheWagepic.twitter.com/KxdOns3kZQ,
,,,,,,,,,,,,,,,,,,,,,,"""Do something, Congress. Do anything to help working Americans."" Watch the weekly address: http://ofa.bo/f0DIÂ  #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,President Obama is hitting the road this summer to meet Americans who wrote him a letter. Read more:http://ofa.bo/e09gÂ ,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: It's time the 24 states blocking Medicaid access for 5.7 million Americans put #PeopleOverPolitics.,
,,,,,,,,,,,,,,,,,,,,,,"""If all of you are fighting alongside me every single day â€¦ then we're going to make America better than ever."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""If you work hard, if you're responsible, you can make it here in America."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We know from our history, our economy doesn't grow from the top down, it grows from the middle out."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""As long as they do nothing, I'm not going to apologize for doing something."" â€”President Obama on House leadership #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""I'm going to keep taking actions on my own that can help the middle class."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""America cannot wait forever for them to act."" â€”President Obama on House Republicans #ActOnReform",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree with the majority of Americans who support comprehensive immigration reform. #OneYearNoAction,
,,,,,,,,,,,,,,,,,,,,,,"""Our country is stronger when every American can count on affordable health insurance."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,See why these Americans believe in raising the minimum wage: http://ofa.bo/bv4Â  #WithABetterWagepic.twitter.com/gEBWXlv4z7,
,,,,,,,,,,,,,,,,,,,,,,FACT: Women are now the primary or co-breadwinner in nearly two-thirds of American families. #FamiliesSucceed,
,,,,,,,,,,,,,,,,,,,,,,"""No matter what you look like or where you come from, here in America, you can make it."" â€” President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Even if Republicans in Congress refuse to budge on this issue this year, everyone knows America deserves a raise."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Nearly 28 million Americans would benefit if we raised the wage to $10.10 an hour."" â€”President Obama #FamiliesSucceed #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,Most Americans support protecting LGBT Americans from workplace discrimination. Say you're one of them:http://ofa.bo/qrIÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""'If you can imagine it, then you can do it' ... That's a pretty good motto for America."" â€”President Obama #NationOfMakers",
,,,,,,,,,,,,,,,,,,,,,,Add your name: It's time to end workplace discrimination against LGBT Americans. http://ofa.bo/cqdÂ ,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you think every American should be treated with dignityâ€”regardless of their sexual orientation or gender identity.,
,,,,,,,,,,,,,,,,,,,,,,"""In America, higher education opens the doors to opportunity for all."" â€”President Obama #CollegeOpportunity",
,,,,,,,,,,,,,,,,,,,,,,"""We come to remember why America and our allies gave so much for the survival of liberty."" â€”President Obama on the 70th anniversary of D-Day",
,,,,,,,,,,,,,,,,,,,,,,"""Power plants are responsible for about 40% of America's carbon pollution."" â€”President Obama #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,"This is wrong: In 24 states, leaders are blocking Medicaid expansion for millions of Americans. http://ofa.bo/giqÂ  #PeopleOverPolitics",
,,,,,,,,,,,,,,,,,,,,,,"In his weekly address, President Obama honors the brave men and women in uniform who gave their lives for America.http://ofa.bo/rirÂ ",
,,,,,,,,,,,,,,,,,,,,,,Currently 24 states are blocking Medicaid expansion for 5.7 million Americans. That's wrong: http://ofa.bo/ti4Â  #PeopleOverPolitics,
,,,,,,,,,,,,,,,,,,,,,,American support for marriage equality is at a record high: http://ofa.bo/ficÂ  #LoveIsLove,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you think hard-working Americans earning the minimum wage deserve a raise. #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,Watch: @WValderrama believes in the American dream.http://ofa.bo/jgPÂ ,
,,,,,,,,,,,,,,,,,,,,,,This isn't controversial: It's time to put #PeopleOverPolitics and expand Medicaid for Americans in all 50 states.pic.twitter.com/CTVrz3H9w1,
,,,,,,,,,,,,,,,,,,,,,,"""Nothing can ever break us. Nothing can change who we are as Americans."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""America doesn't stand still. There is work to be done."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since President Obama took office, America has tripled electricity production from wind power. #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since President Obama took office, America has increased its electricity generation from solarâ€”more than 10-fold.",
,,,,,,,,,,,,,,,,,,,,,,"""We will leave our children with a better future and a better America."" â€”President Obama #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,FACT: More than 28 million Americans would benefit from raising the minimum wage.http://ofa.bo/qeqÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""When all Americans are treated as equal, no matter who they are or whom they love, we are all more free."" â€”President Obama #LoveIsLove",
,,,,,,,,,,,,,,,,,,,,,,"Right now in America, full-time workers are living below the poverty line. Sign the petition to change that: http://ofa.bo/tcuÂ ",
,,,,,,,,,,,,,,,,,,,,,,Raising the minimum wage will be good for American families. Sign the petition today. http://ofa.bo/bctÂ  #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,"""My message to the American people is this: Don't get discouraged by a vote like the one we saw this morning. Get fired up.""â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""It's a very simple issue. Either you're in favor of raising wages for hard-working Americans or you're not."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""America deserves a raise."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""Itâ€™s time for $10.10. Itâ€™s time to give America a raise."" â€”President Obama http://ofa.bo/aZjÂ  #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"In tough times, we don't abandon American families. Tell Congress to make it right: http://ofa.bo/eYoÂ  #RenewUIpic.twitter.com/SylMgkElCa",
,,,,,,,,,,,,,,,,,,,,,,Repealing the Affordable Care Act would affect millions of Americans. #WhatRepealMeanspic.twitter.com/M3xFtT5DCS,
,,,,,,,,,,,,,,,,,,,,,,The Affordable Care Act is workingâ€”for millions of Americans.pic.twitter.com/LBNwxvUxkc,
,,,,,,,,,,,,,,,,,,,,,,"""Millions of Americans who were uninsured now have coverage."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree we need to train Americans with the skills employers need. #ActOnJobs,
,,,,,,,,,,,,,,,,,,,,,,"""Everybody has a chanceâ€”that's the idea of America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Too many Americans, if they are lucky enough to have a job, are working harder and harder just to get by."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""The right to vote is something cherished by every American."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""I urge Congress to follow Minnesotaâ€™s lead, raise the federal minimum wage, and lift wages for 28 million Americans."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"On average, women in America make just 77 cents for every dollar a man makes. It's #MathNotMyth. http://ofa.bo/cUwÂ ",
,,,,,,,,,,,,,,,,,,,,,,Fair pay: fÂ­Â­or all of Americaâ€™s daughters.pic.twitter.com/UgF2qhWUjh,
,,,,,,,,,,,,,,,,,,,,,,"""America deserves equal pay for equal work."" â€”President Obama #FairFutureNow",
,,,,,,,,,,,,,,,,,,,,,,"Retweet if you agree that when women succeed, America succeeds. #FairFutureNow",
,,,,,,,,,,,,,,,,,,,,,,The Senate just took action on a bipartisan bill to #RenewUI for more than 2 million Americans. It's up to the House to follow suit.,
,,,,,,,,,,,,,,,,,,,,,,Too many Americans have gone without unemployment insurance for too long: http://ofa.bo/bVLÂ  #RenewUI,
,,,,,,,,,,,,,,,,,,,,,,"""America is a place for everybodyâ€”that's what we're fighting for.""  â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""It's time for ten-ten. It's time to give America a raise."" â€”President Obama #RaiseTheWage to $10.10",
,,,,,,,,,,,,,,,,,,,,,,"""Nearly 3 in 4 Americans support raising the minimum wage.""  â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""In America, we do not believe in opportunity just for the fewâ€”we believe that everybody should have a chance at success."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""7.1 million Americans have now signed up for coverage ... That's enough to fill up the Big House 65 times."" â€”President Obama to @UMich",
,,,,,,,,,,,,,,,,,,,,,,President Obama wants to give America a raise. Watch him discuss the minimum wage at @UMich at 3:00 p.m. ET: http://ofa.bo/pTlÂ ,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: We'll work to get more Americans covered with each passing year. #7MillionAndCounting,
,,,,,,,,,,,,,,,,,,,,,,Six million Americans and counting. #GetCoveredNowpic.twitter.com/rRCwhqTowg,
,,,,,,,,,,,,,,,,,,,,,,FACT: Nearly 6 in 10 uninsured Americans could get insurance for $100 or less a month. #ACAWorks #GetCoveredNow,
,,,,,,,,,,,,,,,,,,,,,,Nearly 60% of uninsured Americans could get covered for $100/month or less: http://ofa.bo/rNaÂ  #100Challengepic.twitter.com/KprDwTqVoB,
,,,,,,,,,,,,,,,,,,,,,,"Watch: In his weekly address, President Obama discusses how raising the minimum wage will impact American women.http://ofa.bo/fMYÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""We've got to make sure that every woman has the opportunities that she deserves. When a woman succeeds, America succeeds."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Say you were a part of the final push to help Americans get covered: http://ofa.bo/eHiÂ  #LastCall2014,
,,,,,,,,,,,,,,,,,,,,,,President Obama: I'm going to do what I can to raise wages for hard working Americans. #OpportunityForAll,
,,,,,,,,,,,,,,,,,,,,,,"""In America, it doesn't matter where you startedâ€”if you're willing to work hard and act responsibly, you can get ahead.""â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,FACT: $100 a month for health care is now a realistic price for nearly six in 10 uninsured Americans. http://ofa.bo/pFEÂ  #LastCall2014,
,,,,,,,,,,,,,,,,,,,,,,"""A clear majority of Americans support raising the minimum wage."" â€”President Obama http://ofa.bo/fDxÂ  #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"In his weekly address, President Obama calls on Congress to listen to the American people and raise the minimum wage.http://ofa.bo/aDcÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""I want us to have the best educated workforce in America, and I want it to be the most diverse workforce in the world."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""We need to do more to help Americans who feel trapped by student loan debt."" â€”President Obama #CollegeOpportunity",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree every child in America should have access to a world class education. #CollegeOpportunity,
,,,,,,,,,,,,,,,,,,,,,,"""Opportunity is what drew many of your parents and grandparents to America. We've got to restore that for your generation."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree that women in America deserve a #FairShot.pic.twitter.com/VuAyWKd3G4,
,,,,,,,,,,,,,,,,,,,,,,"""Nearly 3 in 4 Americansâ€”about half of all Republicansâ€”support raising the minimum wage."" â€”President Obama #RaiseTheWage #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: Now is the time to give America a raise. #OpportunityForAll #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,"President Obama on #ReadAcrossAmerica Day: ""Today, Americans young and old will take time to get lost in a story.""",
,,,,,,,,,,,,,,,,,,,,,,"""Every child in America deserves a world class education."" â€”President Obama #WHFilmFest",
,,,,,,,,,,,,,,,,,,,,,,"""At a time when the economy is growing, we've got to make sure that every American shares in that growth, not just a few."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Rebuilding our infrastructure is vital for business."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"Retweet if you agree that America should have the best airports, the best roads, and the best trains in the world.",
,,,,,,,,,,,,,,,,,,,,,,"""I'm here to launch a new competition for 21st century infrastructure and the jobs that come with it."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We've got to restore opportunity for everyone."" â€”President Obama #RebuildAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""We now have 4 million Americans who have signed up for quality private health insurance through the marketplace."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""I could not be prouder of the work you've done to help America get covered."" â€”President Obama #ActionSummit",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you're part of the 3/4 of Americans who support raising the minimum wage. #ActionSummit,
,,,,,,,,,,,,,,,,,,,,,,"President Obama: I don't want the next big job-creating discovery to come from Germany, China or Japan. I want it to be made in America.",
,,,,,,,,,,,,,,,,,,,,,,"""For the first time last year ... world investors now see America as the number one place to do business."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"Watch: In his weekly address, President Obama calls on Congress to give America a raise.http://ofa.bo/t9SÂ ",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you believe America deserves a raise. #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,No one who works full time in America should have to raise a family in poverty. Tell Congress to #RaiseTheWage:http://ofa.bo/i8vÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""The American car industry sold more cars last year than any time since 2007."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"""Opportunity for all. That's the essence of America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"In the weekly address, President Obama lays out his plan to give America a raise. Watch: http://ofa.bo/q7pÂ  #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""What happens here matters to every working American, right down to the food that you put on your table."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""When women succeed, America succeeds."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""There's too much to do, and America does not believe in standing still."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Let's give Americans a raise right nowâ€”I'm going to sign this."" â€”President Obama on executive action to #RaiseTheWage for federal workers",
,,,,,,,,,,,,,,,,,,,,,,"""Nobody who works full time should have to live in poverty. Nobody. Not here in America."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,Spread the word for a chance to meet the President. http://ofa.bo/s5JÂ  #CoverAmericapic.twitter.com/zPtHTlv5Qt,
,,,,,,,,,,,,,,,,,,,,,,Retweet to let people know: It's time to #CoverAmerica.pic.twitter.com/C1wQs7gtE6,
,,,,,,,,,,,,,,,,,,,,,,"ICYMI: Yesterday, Republican senators refused to #RenewUI. How long will American families be left out in the cold?pic.twitter.com/qEFWpwp4gq",
,,,,,,,,,,,,,,,,,,,,,,Congress: More than a million Americans are still without unemployment insurance. Do the right thing and #RenewUI.pic.twitter.com/wqXwvkOx3Y,
,,,,,,,,,,,,,,,,,,,,,,"For some, it's still harder than it should be to support a family in America. Tell Congress to #RaiseTheWage: http://ofa.bo/j3MÂ ",
,,,,,,,,,,,,,,,,,,,,,,Watch: President Obama is urging Congress to give America a raise. http://ofa.bo/h3jÂ  #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,"""We've got to do more to restore opportunity for every American."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""If every child is successful ... then the America my child grows up in will be more successful."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""As Americans, we believe that everyone who works hard deserves a chance at opportunity."" â€”President Obama #OpportunityForAll",
,,,,,,,,,,,,,,,,,,,,,,"""I believe it's time to give America a raise."" â€”President Obama #RaiseTheWage",
,,,,,,,,,,,,,,,,,,,,,,"""Few Americans give more to their country than our diplomats and the men and women of the United States Armed Forces."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Give America a raise."" â€”President Obama to Congress #RaiseTheWage #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""It's good for the economy. It's good for America."" â€”President Obama on raising the minimum wage #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""I believe when women succeed, America succeeds."" â€”President Obama #SOTU #StandWithWomen",
,,,,,,,,,,,,,,,,,,,,,,"""Letâ€™s do more to help the entrepreneurs and small business owners who create most new jobs in America."" â€”President Obama #SOTU",
