year,month,date,obama_year,obama_month,obama_date,obama_tweet_count,trump_year,trump_month,trump_date,trump_tweet_count
2013,Aug,Aug 2013,2013,Aug,Aug 2013,114,2013,Aug,Aug 2013,716
2013,Sep,Sep 2013,2013,Sep,Sep 2013,74,2013,Sep,Sep 2013,673
2013,Oct,Oct 2013,2013,Oct,Oct 2013,100,2013,Oct,Oct 2013,558
2013,Nov,Nov 2013,2013,Nov,Nov 2013,82,2013,Nov,Nov 2013,377
2013,Dec,Dec 2013,2013,Dec,Dec 2013,85,2013,Dec,Dec 2013,369
2014,Jan,Jan 2014,2014,Jan,Jan 2014,135,2014,Jan,Jan 2014,358
2014,Feb,Feb 2014,2014,Feb,Feb 2014,122,2014,Feb,Feb 2014,284
2014,Mar,Mar 2014,2014,Mar,Mar 2014,110,2014,Mar,Mar 2014,377
2014,Apr,Apr 2014,2014,Apr,Apr 2014,111,2014,Apr,Apr 2014,512
2014,May,May 2014,2014,May,May 2014,67,2014,May,May 2014,364
2014,Jun,Jun 2014,2014,Jun,Jun 2014,89,2014,Jun,Jun 2014,748
2014,Jul,Jul 2014,2014,Jul,Jul 2014,89,2014,Jul,Jul 2014,468
2014,Aug,Aug 2014,2014,Aug,Aug 2014,48,2014,Aug,Aug 2014,334
2014,Sep,Sep 2014,2014,Sep,Sep 2014,58,2014,Sep,Sep 2014,497
2014,Oct,Oct 2014,2014,Oct,Oct 2014,71,2014,Oct,Oct 2014,609
2014,Nov,Nov 2014,2014,Nov,Nov 2014,67,2014,Nov,Nov 2014,574
2014,Dec,Dec 2014,2014,Dec,Dec 2014,59,2014,Dec,Dec 2014,659
2015,Jan,Jan 2015,2015,Jan,Jan 2015,77,2015,Jan,Jan 2015,1119
2015,Feb,Feb 2015,2015,Feb,Feb 2015,36,2015,Feb,Feb 2015,468
2015,Mar,Mar 2015,2015,Mar,Mar 2015,72,2015,Mar,Mar 2015,404
2015,Apr,Apr 2015,2015,Apr,Apr 2015,58,2015,Apr,Apr 2015,798
2015,May,May 2015,2015,May,May 2015,43,2015,May,May 2015,707
2015,Jun,Jun 2015,2015,Jun,Jun 2015,65,2015,Jun,Jun 2015,529
2015,Jul,Jul 2015,2015,Jul,Jul 2015,79,2015,Jul,Jul 2015,790
2015,Aug,Aug 2015,2015,Aug,Aug 2015,61,2015,Aug,Aug 2015,355
2015,Sep,Sep 2015,2015,Sep,Sep 2015,48,2015,Sep,Sep 2015,409
2015,Oct,Oct 2015,2015,Oct,Oct 2015,41,2015,Oct,Oct 2015,790
2015,Nov,Nov 2015,2015,Nov,Nov 2015,49,2015,Nov,Nov 2015,576
2015,Dec,Dec 2015,2015,Dec,Dec 2015,43,2015,Dec,Dec 2015,591
2016,Jan,Jan 2016,,,,,2016,Jan,Jan 2016,492
2016,Feb,Feb 2016,,,,,2016,Feb,Feb 2016,494
2016,Mar,Mar 2016,,,,,2016,Mar,Mar 2016,441
2016,Apr,Apr 2016,,,,,2016,Apr,Apr 2016,284
2016,May,May 2016,,,,,2016,May,May 2016,351
2016,Jun,Jun 2016,,,,,2016,Jun,Jun 2016,303
2016,Jul,Jul 2016,,,,,2016,Jul,Jul 2016,378
2016,Aug,Aug 2016,,,,,2016,Aug,Aug 2016,325
2016,Sep,Sep 2016,,,,,2016,Sep,Sep 2016,296
2016,Oct,Oct 2016,,,,,2016,Oct,Oct 2016,530
2016,Nov,Nov 2016,,,,,2016,Nov,Nov 2016,193
2016,Dec,Dec 2016,,,,,2016,Dec,Dec 2016,138
2017,Jan,Jan 2017,,,,,2017,Jan,Jan 2017,214
2017,Feb,Feb 2017,,,,,2017,Feb,Feb 2017,154
2017,Mar,Mar 2017,,,,,2017,Mar,Mar 2017,147
2017,Apr,Apr 2017,,,,,2017,Apr,Apr 2017,152
2017,May,May 2017,,,,,2017,May,May 2017,155
2017,Jun,Jun 2017,,,,,2017,Jun,Jun 2017,212
2017,Jul,Jul 2017,,,,,2017,Jul,Jul 2017,245
2017,Aug,Aug 2017,,,,,2017,Aug,Aug 2017,267
2017,Sep,Sep 2017,,,,,2017,Sep,Sep 2017,306
2017,Oct,Oct 2017,,,,,2017,Oct,Oct 2017,290
2017,Nov,Nov 2017,,,,,2017,Nov,Nov 2017,261
2017,Dec,Dec 2017,,,,,2017,Dec,Dec 2017,199
2018,Jan,Jan 2018,,,,,2018,Jan,Jan 2018,205
2018,Feb,Feb 2018,,,,,2018,Feb,Feb 2018,175
2018,Mar,Mar 2018,,,,,2018,Mar,Mar 2018,171
2018,Apr,Apr 2018,,,,,2018,Apr,Apr 2018,257
