words,parent,trump_all,trump_all_pcnt,trump_last_two,trump_last_two_pcnt,trump_last_one,trump_last_one_pcnt,obama_all,obama_all_pcnt,obama_last_two,obama_last_two_pcnt,obama_last_one,obama_last_one_pcnt
Pronouns,,,100,,,,,,100,,,,
1st person,Pronouns,4846,24.5665619,3114,24.00369999,1570,23.37352985,466,10.92358181,274,12.48291572,239,13.61047836
2nd person,Pronouns,2697,13.67231066,1936,14.92330224,2250,33.49709692,1452,34.03656821,749,34.12300683,610,34.738041
3rd person,Pronouns,6669,33.80817196,4515,34.80305249,1143,17.01652523,911,21.3548992,548,24.96583144,453,25.79726651
Collective,Pronouns,5514,27.95295549,3408,26.26994527,1754,26.112848,1437,33.68495077,624,28.42824601,454,25.85421412
